"Pollo a la cerveza"
"Pollo al curry"
"Pollo al ajillo"
"Pinchitos de pollo"
"Fajitas de pollo"
"Pollo al chilindrón"
"Garbanzos con patatas cocidas"
"Lentejas con patatas cocidas"
"Puchero"
"Pasta carbonara"
"Pasta aglio/olio"
"Fideua boloñesa"
"Pasta puttanesca"
"Ensalada de pasta"
"Sopa de fideos"
"Pasta con berenjena"
"Arroz amarillo"
"Arroz a la cubana"
"Risotto de verduras"
"Paella"
"Croquetas de jamón"
"Albóndigas en salsa de almendras"
"Pollo asado"
"Pimientos rellenos"
"Ternera con pimientos"
"Currywurst"
"Solomillo de cerdo a la mostaza"
"Solomillo de cerdo a la pimienta"
"Ternera en salsa con patatas"
"Puré de patata y zanahoria"
"Pisto con huevo"
"Ensalada mixta"
"Verduras rellenas"
"Patatas a la riojana"
"Crema de verduras"
"Sopa minestrone"
"Salmón a la plancha"
"Salmón al papillote"
"Marmita de salmón"
"Tortilla de patatas"
"Sopa de ajo"
"Menestra de verduras"
"Empanada de verduras"
